,0
0,3.46
1,3.11
2,3.45
3,2.32
4,3.46
5,2.32
6,3.46
7,3.46
8,3.46
9,3.46
10,3.46
11,3.46
12,3.46
13,3.02
14,2.32
15,2.85
16,3.46
17,2.62
18,3.46
19,2.42
20,2.33
21,3.46
22,3.46
23,3.46
24,3.46
25,3.46
26,3.46
27,3.46
28,3.46
29,3.46
30,3.46
31,3.46
32,3.46
33,2.32
34,2.32
35,2.32
36,3.46
37,3.46
38,2.32
39,3.46
40,3.46
41,3.46
42,2.46
43,3.46
44,3.46
45,3.46
46,3.46
47,3.46
48,3.46
49,3.46
50,3.46
51,3.45
52,2.32
53,2.32
54,3.12
55,2.32
56,2.32
57,2.32
58,3.46
59,2.32
60,3.46
61,3.07
62,3.46
63,3.46
64,3.46
65,3.46
66,2.32
67,3.29
68,2.32
69,2.32
70,2.32
71,3.46
72,2.32
73,2.32
74,3.46
75,3.46
76,3.46
77,3.46
78,3.46
79,3.46
80,3.45
81,2.32
82,2.33
83,2.32
84,2.32
85,3.46
86,3.46
87,3.46
88,2.32
89,2.32
90,3.46
91,2.39
92,2.32
93,3.46
94,3.45
95,2.32
96,3.46
97,3.46
98,3.46
99,3.45
