,pearsonr,f_regression,rfr,rfe,rg,rf,mic
0,-0.190362117,18.72494178,0.033,6474,-0.006287854,0,0.156536814
1,0.226666367,26.97181376,0.044,1106,0.011821981,0,0.175822993
2,0.121221921,7.427127308,0.003,3770,0.009760142,0,0.141142686
3,-0.034052283,0.578130241,-0.005,175,-0.008691804,1.14E-07,0.142135993
4,0.081616208,3.339525536,0.011,2235,0.004083792,0,0.15237671
5,-0.165787824,14.07468125,0.025,2695,-0.010686257,0,0.169416355
6,-0.198319138,20.38846759,0.131,6613,-0.004093074,0,0.161694089
7,-0.116016797,6.794481865,0.096,2727,-0.008053287,0.002871042,0.190537848
8,-0.172317464,15.23978736,0.059,4675,-0.001415894,0,0.11463083
9,-0.106872257,5.753713413,0.069,603,-0.025733856,0.000773916,0.183898378
10,-0.213339818,23.74671633,0.117,6566,-0.004171084,1.56E-06,0.22812211
11,-0.214257774,23.96136377,0.004,172,-0.025072897,0,0.178793023
12,0.039799148,0.790069578,0.029,948,-0.008590551,0.001209397,0.167565698
13,-0.103612388,5.404310567,-0.041,499,-0.009674881,0,0.132365036
14,-0.021663158,0.23381736,-0.026,5830,-0.000722516,0.000769474,0.137567842
15,0.180859576,16.84052956,0.003,845,-0.008172397,1.41E-07,0.151403688
16,-0.155856078,12.39814102,0.181,2389,0.001461127,0.000576525,0.245899451
17,-0.066497449,2.211892332,0.099,782,-0.012144962,2.11E-08,0.230290644
18,0.019562375,0.190650838,0.137,2161,-0.00374981,0.000784344,0.125191452
19,0.002527576,0.003181564,0.022,4246,-0.00175357,0,0.144773088
20,0.051725783,1.336001763,0.068,879,0.006868457,0,0.110884498
21,0.008942343,0.039826,0.107,1963,0.003704078,5.37E-06,0.145345202
22,0.178347629,16.36072253,0.011,6145,0.001047776,6.16E-05,0.149850858
23,0.163425898,13.66557658,-0.116,715,0.013182325,0,0.150828627
24,0.071022768,2.52476382,0.038,6676,5.60E-05,0.000407591,0.180116499
25,-0.030634918,0.467811137,0.029,6645,-0.002402242,0,0.167289613
26,-0.027438735,0.375218813,0.038,5990,0.00098586,0,0.118875207
