,210X24,210X204,210X205,210X213,210X215,220X67,220X71,220X75,220X79,220X83,220X87,220X91,220X95,220X225,220X226,220X227,220X228,220X229,220X230,220X231,220X232,220X233,220X234,220X235,220X236,300X2,300X3,300X4,300X6,300X7,300X9,300X10,300X13,300X14,300X20,310X56,310X60,310X64,310X68,310X72,310X76,310X80,310X84,311X29,311X30,311X31,311X32,311X99,311X100,311X187,311X188,261X373,261X374,261X559,261X560,261X745,261X746,330X623,330X640,330X1165,330X1168,330X1169,360X691,360X710,360X711,360X1287,360X1291,360X1292,360X1293,400X7,400X9,400X25,400X27,400X60,400X61,400X64,400X65,400X83,400X84,400X168,400X169,400X219,400X220,420X7,420X9,420X25,420X27,520X148,520X152,520X171,520X173,520X248,520X250,520X346,520X348,520X354,520X356,750X691,750X710,750X711,750X1287,750X1291,750X1292,750X1293
0,20170725030628,20170725031229,20170725030712,20170725031228.0,20170725030740.0,2017072611232172.8,2017072611214726,2017072611230620.0,2017072611220489,2017072611230903.2,2017072611214304,2017072611230384.8,2017072611220135,20170726110800.0,20170726110800.0,20170726105236.0,20170726105035.0,20170726105001.0,20170726104923.0,20170726101945.0,20170726101945.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170727154101.0,20170727154030.0,20170727154153.0,20170727154030.0,20170727153958.0,20170727153909.0,20170727153849.0,20170727153958.0,20170727153909.0,20170727153215.0,2017072822554367,2017072822530804,2017072822552853,2017072822534931,2017072822553126,2017072822530382,2017072822552500,2017072822534579,20170727154455,20170727155026.0,20170727154358,20170727154937.0,20170727154547,20170727154527,20170727154551,20170727154547,20170727154605,20170727154552,20170727154611,20170727154605,20170727154624,20170727154611,20170729,20170729,20170729,20170729,20170729,20170730,20170730,20170730,20170730,20170730,20170730,20170730,20170730171821,20170730171757,20170730171904,20170730171030,20170730171636,20170730171622,20170730171640,20170730171636,20170730171757,20170730171733,20170730171622,20170730171610,20170730171733,20170730171640,20170730203404,20170730203429,20170730203555,20170730203341,20170724224505,20170724224422,20170724224524.0,20170724224112,20170724224422,20170724224338,20170724224251,20170724224239,20170724224338,20170724224251,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0
1,20170725030849,20170725031537,20170725031021,20170725031537.0,20170725031049.0,2017072611220744.8,2017072611203201,2017072611215196.0,2017072611204792,2017072611215484.8,2017072611202779,2017072611214971.2,2017072611204440,20170726110647.0,20170726110647.0,20170726105132.0,20170726104932.0,20170726104858.0,20170726104647.0,20170726101840.0,20170726101840.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,,,20170727153852.0,,20170727153730.0,20170727153641.0,20170727153621.0,20170727153730.0,20170727153641.0,20170727153142.0,2017072822535162,2017072822521292,2017072822533648,2017072822522957,2017072822533925,2017072822520871,2017072822533414,2017072822522607,20170727154358,20170727154741.0,20170727154301,20170727154653.0,20170727154506,20170727154446,20170727154510,20170727154506,20170727154524,20170727154511,20170727154531,20170727154524,20170727154544,20170727154531,20170729,20170729,20170729,20170729,20170729,20170730,20170730,20170730,20170730,20170730,20170730,20170730,20170730171941,20170730171917,20170730172037,20170730171202,20170730171819,20170730171805,20170730171823,20170730171819,20170730171917,20170730171849,20170730171805,20170730171753,20170730171849,20170730171823,20170730203555,20170730203620,20170730203710,20170730203532,20170724224633,20170724224550,20170724224652.0,20170724224158,20170724224550,20170724224456,20170724224408,20170724224356,20170724224456,20170724224408,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0
2,20170725031113,20170725031807,20170725031250,20170725031806.0,20170725031318.0,2017072611205048.0,2017072611191653,2017072611203500.8,2017072611193410,2017072611203784.8,2017072611191231,2017072611203276.0,2017072611193059,20170726110533.0,20170726110533.0,20170726105030.0,20170726104656.0,20170726104619.0,20170726104531.0,20170726101736.0,20170726101736.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170727154507.0,20170727154436.0,20170727154541.0,20170727154436.0,20170727154403.0,20170727154315.0,20170727154255.0,20170727154403.0,20170727154315.0,20170727153545.0,2017072822523189,2017072822503856,2017072822521678,2017072822511479,2017072822521951,2017072822503435,2017072822521451,2017072822511128,20170727154839,20170727155501.0,20170727154747,20170727155325.0,20170727154941,20170727154921,20170727154945,20170727154941,20170727154959,20170727154946,20170727155006,20170727154959,20170727155019,20170727155006,20170729,20170729,20170729,20170729,20170729,20170730,20170730,20170730,20170730,20170730,20170730,20170730,20170730172114,20170730172051,20170730172557,20170730171319,20170730171935,20170730171921,20170730171939,20170730171935,20170730172051,20170730172008,20170730171921,20170730171909,20170730172008,20170730171939,20170730203710,20170730203735,20170730203903,20170730203647,20170724224800,20170724224717,20170724224822.0,20170724224244,20170724224717,20170724224623,20170724224535,20170724224513,20170724224623,20170724224535,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0,20170727.0
3,20170723105612,20170723110319,20170723105803,20170723110319.0,20170723105831.0,2017072502103926.0,2017072502090981,2017072502102379.2,2017072502093412,2017072502102667.2,2017072502090560,2017072502102154.0,2017072502093060,20170725022729.0,20170725022729.0,20170725021112.0,20170725020913.0,20170725020839.0,20170725020745.0,20170725013602.0,20170725013602.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170726140931.0,20170726140859.0,20170726140945.0,20170726140859.0,20170726140813.0,20170726140724.0,20170726140705.0,20170726140813.0,20170726140724.0,20170726140045.0,2017072711532168,2017072711513403,2017072711530662,2017072711520754,2017072711530945,2017072711512981,2017072711530426,2017072711520401,20170726141505,20170726141819.0,20170726141409,20170726141728.0,20170726141558,20170726141538,20170726141602,20170726141558,20170726141616,20170726141603,20170726141623,20170726141616,20170726141636,20170726141623,20170728,20170728,20170728,20170728,20170728,20170729,20170729,20170729,20170729,20170729,20170729,20170729,20170729103154,20170729103131,20170729103223,20170729102538,20170729103017,20170729103003,20170729103021,20170729103017,20170729103131,20170729103107,20170729103003,20170729102952,20170729103107,20170729103021,20170729160236,20170729160301,20170729160507,20170729160213,20170723090608,20170723090525,20170723090721.0,20170723084627,20170723090525,20170723090341,20170723090253,20170723085325,20170723090341,20170723090253,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0
4,20170723111008,20170723111759,20170723111243,20170723111758.0,20170723111311.0,2017072502061259.2,2017072502044293,2017072502055700.0,2017072502050735,2017072502055992.0,2017072502043871,2017072502055475.2,2017072502050384,20170725022141.0,20170725022141.0,20170725020646.0,20170725020447.0,20170725020413.0,20170725020335.0,20170725013118.0,20170725013118.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170726141719.0,20170726141647.0,20170726141733.0,20170726141647.0,20170726141558.0,20170726141509.0,20170726141449.0,20170726141558.0,20170726141509.0,20170726140829.0,2017072711481570,2017072711462762,2017072711480060,2017072711470134,2017072711480334,2017072711462340,2017072711475825,2017072711465781,20170726142247,20170726142600.0,20170726142155,20170726142510.0,20170726142339,20170726142318,20170726142343,20170726142339,20170726142357,20170726142344,20170726142403,20170726142357,20170726142417,20170726142403,20170728,20170728,20170728,20170728,20170728,20170729,20170729,20170729,20170729,20170729,20170729,20170729,20170729103711,20170729103648,20170729103750,20170729103105,20170729103541,20170729103527,20170729103544,20170729103541,20170729103648,20170729103619,20170729103527,20170729103515,20170729103619,20170729103544,20170729161018,20170729161043,20170729161208,20170729160954,20170723091540,20170723091457,20170723091603.0,20170723085422,20170723091457,20170723091413,20170723091326,20170723091314,20170723091413,20170723091326,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0
5,20170723115220,20170723120156,20170723115640,20170723120156.0,20170723115708.0,2017072501524879.2,2017072501510239,2017072501523328.0,2017072501514375,2017072501523618.0,2017072501505818,2017072501523104.0,2017072501514021,20170725020715.0,20170725020715.0,20170725015322.0,20170725015106.0,20170725015033.0,20170725014954.0,20170725011816.0,20170725011816.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170726144033.0,20170726144002.0,20170726144048.0,20170726144002.0,20170726143916.0,20170726143827.0,20170726143807.0,20170726143916.0,20170726143827.0,20170726143149.0,2017072711324767,2017072711304898,2017072711323265,2017072711312240,2017072711323542,2017072711304476,2017072711323039,2017072711311887,20170726144611,20170726144922.0,20170726144515,20170726144833.0,20170726144704,20170726144644,20170726144708,20170726144704,20170726144722,20170726144709,20170726144729,20170726144722,20170726144742,20170726144729,20170728,20170728,20170728,20170728,20170728,20170729,20170729,20170729,20170729,20170729,20170729,20170729,20170729105341,20170729105317,20170729105445,20170729104722,20170729105223,20170729105210,20170729105227,20170729105223,20170729105317,20170729105253,20170729105210,20170729105158,20170729105253,20170729105227,20170729163014,20170729163039,20170729163203,20170729162951,20170723095144,20170723095101,20170723095259.0,20170723093022,20170723095101,20170723095017,20170723094929,20170723094917,20170723095017,20170723094929,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0
6,20170723121001,20170723121652,20170723121136,20170723121651.0,20170723121204.0,2017072501471154.0,2017072501422837,2017072501465606.0,2017072501460657,2017072501465892.0,2017072501422415,2017072501465384.8,2017072501460301,20170725020045.0,20170725020045.0,20170725014745.0,20170725014232.0,20170725014158.0,20170725014104.0,20170725010320.0,20170725010320.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170726145212.0,20170726145141.0,20170726145237.0,20170726145141.0,,20170726145020.0,20170726145000.0,,20170726145020.0,20170726144513.0,2017072711261489,2017072711244389,2017072711255981,2017072711250064,2017072711260250,2017072711243968,2017072711255746,2017072711245712,20170726145539,20170726145914.0,20170726145432,20170726145820.0,20170726145654,20170726145634,20170726145658,20170726145654,20170726145712,20170726145659,20170726145718,20170726145712,20170726145731,20170726145718,20170728,20170728,20170728,20170728,20170728,20170729,20170729,20170729,20170729,20170729,20170729,20170729,20170729110024,20170729110001,20170729110050,20170729105437,20170729105907,20170729105853,20170729105911,20170729105907,20170729110001,20170729105937,20170729105853,20170729105841,20170729105937,20170729105911,20170729164438,20170729164504,20170729164700,20170729164415,20170723100227,20170723100144,20170723100339.0,20170723095143,20170723100144,20170723100000,20170723095912,20170723095850,20170723100000,20170723095912,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0
7,20170723093642,20170723094341,20170723093825,20170723094340.0,20170723093853.0,2017072421153298.0,2017072421135804,2017072421151740.0,2017072421141903,2017072421152028.0,2017072421135381,2017072421151514.0,2017072421141550,20170724213239.0,20170724213239.0,20170724211626.0,20170724211401.0,20170724211324.0,20170724211237.0,20170724204642.0,20170724204642.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170725194904.0,20170725194833.0,,20170725194833.0,20170725194801.0,,20170725194652.0,20170725194801.0,,20170725193953.0,2017072618324095,2017072618294381,2017072618322585,2017072618302143,2017072618322859,2017072618293959,2017072618322359,2017072618301792,20170725195305,20170725195815.0,20170725195213,20170725195724.0,20170725195357,20170725195337,20170725195401,20170725195357,20170725195415,20170725195402,20170725195422,20170725195415,20170725195435,20170725195422,20170727,20170727,20170727,20170727,20170727,20170729,20170729,20170729,20170729,20170729,20170729,20170729,20170729184637,20170729184614,20170729184733,20170729184017,20170729184517,20170729184503,20170729184520,20170729184517,20170729184614,20170729184547,20170729184503,20170729184451,20170729184547,20170729184520,20170729224137,20170729224203,20170729224259,20170729224114,20170723054953,20170723054910,20170723055058.0,20170723053930,20170723054910,20170723054719,20170723054631,20170723054619,20170723054719,20170723054631,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0
8,20170723094350,20170723095105,20170723094549,20170723095104.0,20170723094617.0,2017072421114672.8,2017072421101384,2017072421113118.0,2017072421103146,2017072421113404.0,2017072421100964,2017072421112892.8,2017072421102793,20170724212901.0,20170724212901.0,20170724211239.0,20170724211017.0,20170724210940.0,20170724210739.0,20170724204307.0,20170724204307.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170725195027.0,20170725194956.0,20170725194937.0,20170725194956.0,20170725194920.0,20170725194831.0,20170725194811.0,20170725194920.0,20170725194831.0,20170725194142.0,2017072618274114,2017072618250976,2017072618272617,2017072618254989,2017072618272890,2017072618250554,2017072618272390,2017072618254637,20170725195535,20170725195859.0,20170725195438,20170725195805.0,20170725195627,20170725195607,20170725195631,20170725195627,20170725195645,20170725195632,20170725195652,20170725195645,20170725195705,20170725195652,20170727,20170727,20170727,20170727,20170727,20170729,20170729,20170729,20170729,20170729,20170729,20170729,20170729185043,20170729185020,20170729185142,20170729184429,20170729184924,20170729184910,20170729184927,20170729184924,20170729185020,20170729184954,20170729184910,20170729184858,20170729184954,20170729184927,20170729224632,20170729224657,20170729224745,20170729224608,20170723055708,20170723055626,20170723055748.0,20170723054555,20170723055626,20170723055435,20170723055347,20170723055335,20170723055435,20170723055347,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0
9,20170723095328,20170723100201,20170723095646,20170723100201.0,20170723095713.0,2017072421054303.2,2017072421041285,2017072421052752.8,2017072421043757,2017072421053039.2,2017072421040865,2017072421052528.0,2017072421043403,20170724212357.0,20170724212357.0,20170724210627.0,20170724210415.0,20170724210341.0,20170724210304.0,20170724203709.0,20170724203709.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0,20170725195815.0,20170725195743.0,20170725195829.0,20170725195743.0,20170725195709.0,20170725195620.0,20170725195600.0,20170725195709.0,20170725195620.0,20170725194925.0,2017072618191884,2017072618172339,2017072618190373,2017072618175690,2017072618190651,2017072618171915,2017072618190148,2017072618175337,20170725200315,20170725200648.0,20170725200223,20170725200556.0,20170725200405,20170725200345,20170725200409,20170725200405,20170725200423,20170725200410,20170725200430,20170725200423,20170725200443,20170725200430,20170727,20170727,20170727,20170727,20170727,20170729,20170729,20170729,20170729,20170729,20170729,20170729,20170729185640,20170729185616,20170729185659,20170729184948,20170729185451,20170729185438,20170729185455,20170729185451,20170729185616,20170729185525,20170729185438,20170729185426,20170729185525,20170729185455,20170729225244,20170729225309,20170729225429,20170729225221,20170723061422,20170723061340,20170723061540.0,20170723055445,20170723061340,20170723061157,20170723061110,20170723060142,20170723061157,20170723061110,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0,20170725.0
