学校,学院,url
清华大学,信息科学技术学院,http://www.sist.tsinghua.edu.cn/docinfo/board5/boardlist.jsp?columnId=004&parentColumnId=004
清华大学,信息科学技术学院,http://www.ee.tsinghua.edu.cn/publish/ee/3727/index.html
清华大学,信息科学技术学院,http://www.cs.tsinghua.edu.cn/publish/cs/4797/index.html
清华大学,信息科学技术学院,http://www.au.tsinghua.edu.cn/publish/au/1095/index.html
清华大学,信息科学技术学院,http://www.ime.tsinghua.edu.cn/publish/ime/5902/index.html
清华大学,信息科学技术学院,http://www.thss.tsinghua.edu.cn/publish/soft/3655/index.html
清华大学,信息科学技术学院,http://www.riit.tsinghua.edu.cn/column/szdw_jsml
清华大学,信息科学技术学院,http://www.insc.tsinghua.edu.cn/publish/wyy/10784/index.html
清华大学,信息科学技术学院,http://www.sist.tsinghua.edu.cn/docinfo/board5/boardlist.jsp?columnId=00120&parentColumnId=00120
北京航空航天大学,电子信息工程学院,http://www.ee.buaa.edu.cn/szdw/qtjs.htm
天津大学,电子信息工程学院,http://www.tju.edu.cn/seie/szdw/qrjh/
天津大学,电子信息工程学院,http://www.tju.edu.cn/seie/szdw/cjxz/
天津大学,电子信息工程学院,http://www.tju.edu.cn/seie/szdw/js/
天津大学,电子信息工程学院,http://www.tju.edu.cn/seie/szdw/fjs/
天津大学,电子信息工程学院,http://www.tju.edu.cn/seie/szdw/online/201608/t20160826_284782.html
杭州电子科技大学,电子信息工程学院,http://www.hziee.edu.cn/index.php?c=Index&a=content&catid=20&web=chinese
深圳大学,电子信息工程学院,http://cie.szu.edu.cn/szucie//index.php/category/jsfc/
中国科学技术大学,信息科学技术学院,http://sist.ustc.edu.cn/2017/0804/c5137a190408/page.htm
中国科学技术大学,信息科学技术学院,http://sist.ustc.edu.cn/2017/0804/c5137a190410/page.htm
中国科学技术大学,信息科学技术学院,http://sist.ustc.edu.cn/2017/0804/c5137a216989/page.htm
浙江大学,信息电子工程学院,http://www.isee.zju.edu.cn/usersearch.php?catalog_id=15&cmd=user
浙江大学,信息电子工程学院,http://www.isee.zju.edu.cn/usersearch.php?cmd=user&page=2&zhicheng=&zhiwu=&tebie=&catalog_id=15
浙江大学,信息电子工程学院,http://www.isee.zju.edu.cn/usersearch.php?cmd=user&page=3&zhicheng=&zhiwu=&tebie=&catalog_id=15
浙江大学,信息电子工程学院,http://www.isee.zju.edu.cn/usersearch.php?cmd=user&page=4&zhicheng=&zhiwu=&tebie=&catalog_id=15
浙江大学,信息电子工程学院,http://www.isee.zju.edu.cn/usersearch.php?cmd=user&page=5&zhicheng=&zhiwu=&tebie=&catalog_id=15
浙江大学,信息电子工程学院,http://www.isee.zju.edu.cn/usersearch.php?cmd=user&page=6&zhicheng=&zhiwu=&tebie=&catalog_id=15
浙江大学,信息电子工程学院,http://www.isee.zju.edu.cn/usersearch.php?cmd=user&page=7&zhicheng=&zhiwu=&tebie=&catalog_id=15
