院校名称,院校所在地,院校隶属,院校类型,学历层次,院校特性,研究生院,学信链接,学校链接,isurl,
长治职业技术学院,山西,山西省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1041.dhtml,,0,
山西应用科技学院,山西,山西省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1260.dhtml,http://www.astsxc.com,0,
山西戏剧职业学院,山西,山西省教育厅,艺术,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1362.dhtml,,0,
阳泉职业技术学院,山西,山西省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1366.dhtml,,0,
沧州医学高等专科学校,河北,河北省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2018.dhtml,,0,
河北东方学院,河北,河北省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-18670467.dhtml,http://www.dfzy.edu.cn,0,
泊头职业学院,河北,河北省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-57298883.dhtml,,0,
石家庄幼儿师范高等专科学校,河北,河北省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-170441861.dhtml,http://www.sjzysgz.com,0,
天津冶金职业技术学院,天津,天津市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1940.dhtml,http://www.tjmvti.cn,0,
天津体育职业学院,天津,天津市教育委员会,体育,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1821221077.dhtml,,0,
山西青年职业学院,山西,山西省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5038681.dhtml,,0,
吕梁职业技术学院,山西,山西省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-984824506.dhtml,,0,
内蒙古科技大学,内蒙古,内蒙古自治区教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-108.dhtml,http://www.imust.cn,0,
呼和浩特民族学院,内蒙古,内蒙古自治区教育厅,语言,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-890.dhtml,http://www.imnc.edu.cn?,0,
华北科技学院,河北,国家安全生产监督管理总局,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-730.dhtml,http://www.ncist.edu.cn,0,
廊坊师范学院,河北,河北省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-84.dhtml,,0,
北京城市学院,北京,北京市教育委员会,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-800.dhtml,：http://www.bcu.edu.cn,0,
鄂尔多斯生态环境职业学院,内蒙古,内蒙古自治区教育厅,农业,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-976517616.dhtml,http://www.ordosnmxx.com.cn,0,
扎兰屯职业学院,内蒙古,内蒙古自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1449156473.dhtml,,0,
大连工业大学,辽宁,辽宁省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-128.dhtml,：http://www.dlpu.edu.cn,0,
沈阳农业大学,辽宁,辽宁省教育厅,农业,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-131.dhtml,http://www.syau.edu.cn,0,
沈阳药科大学,辽宁,辽宁省教育厅,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-137.dhtml,http://www.syphu.edu.cn,0,
北京交通大学,北京,教育部,工科,本科/高职(专科),-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-4.dhtml,：http://www.bjtu.edu.cn：zsw.bjtu.edu.cn,0,
北京科技大学,北京,教育部,工科,本科/高职(专科),-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-8.dhtml,http://zhaosheng.ustb.edu.cn,0,
北京卫生职业学院,北京,北京市教育委员会,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-358682152.dhtml,,0,
中国社会科学院大学,北京,中国社会科学院,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1824984166.dhtml,,0,
宿州学院,安徽,安徽省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-295.dhtml,http://www.ahszu.edu.cn,0,
北京外国语大学,北京,教育部,语言,本科,-211,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-27.dhtml,http://www.bfsu.edu.cn,0,
北京现代职业技术学院,北京,北京市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1103.dhtml,,0,
北京邮电大学世纪学院,北京,北京市教育委员会,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-403209.dhtml,http://www.ccbupt.cn,0,
浙江大学宁波理工学院,浙江,浙江省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1482.dhtml,http://www.nit.net.cn,0,
嘉兴南洋职业技术学院,浙江,浙江省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1486.dhtml,http://www.jxnyc.net,0,
温州医科大学仁济学院,浙江,浙江省教育厅,医药,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1629.dhtml,http://rjxy.wmu.edu.cn,0,
浙江经贸职业技术学院,浙江,浙江省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1338.dhtml,http://zs.zjiet.edu.cn,0,
湖州职业技术学院,浙江,浙江省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1349.dhtml,,0,
浙江大学城市学院,浙江,浙江省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1481.dhtml,zs.zucc.edu.cn,0,
南京城市职业学院,江苏,江苏省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1825998167.dhtml,,0,
江苏城乡建设职业学院,江苏,江苏省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1668760912.dhtml,,0,
江苏旅游职业学院,江苏,江苏省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1823429829.dhtml,,0,
苏州幼儿师范高等专科学校,江苏,江苏省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1818753924.dhtml,,0,
中国人民大学(苏州校区),江苏,教育部,综合,本科,985-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-.dhtml, ,0,
江苏省青年管理干部学院,江苏,江苏省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-57305021.dhtml,,0,
杭州电子科技大学,浙江,浙江省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-257.dhtml,http://www.hdu.edu.cn,0,
吐鲁番职业技术学院,新疆,新疆维吾尔自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1672680699.dhtml,,0,
宁夏体育职业学院,宁夏,宁夏回族自治区教育厅,体育,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1993425031.dhtml,,0,
甘肃能源化工职业学院,甘肃,甘肃省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1832284701.dhtml,,0,
青海高等职业技术学院,青海,青海省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1432313015.dhtml,,0,
